time,buyer,seller,price,size,currency,symbol,sector,bid,ask
00:06.8,s.hedgewick@janestreetcap.com,a.clare@sorrel.com,1457.4,42458,GBX,CPG.L,Services,1453.44,1457.4
00:07.1,larabourne@rochdaleassets.com,a.smith@fenchurchst.com,6850.12,19815,GBX,RB.L,Consumer Goods,6846.09,6850.12
00:07.2,d.bristol@moma.com,n.a.choudhury@oxam.org,1771.83,25720,GBX,ADM.L,Financial,1767.94,1771.83
00:07.3,a.j.johnson@johnsonandfinnemore.com,carlee.c@invensys.com,689.74,5403,GBX,INF.L,Other,689.74,693.74
00:07.3,thistle@janestreetcap.com,w.hastings@bridgewater.com,212.56,23602,GBX,VOD.L,Technology,212.56,216.66
00:07.5,a.braxton@vinvest.com,manimal@jlb.com,1027.13,11259,GBX,EZJ.L,Services,1027.13,1027.13
00:07.5,a.braxton@vinvest.com,s.withers@oxam.org,1463.55,56686,GBX,REL.L,Services,1459.58,1463.55
00:07.7,a.afzal@rochdaleassets.com,m.hen@aspectcapital.com,817.4,20310,GBX,PSON.L,Services,816.52,820.44
00:07.8,m.grein@tibratrading.com,w.tuffnell@janestreetcap.com,233.96,29868,GBX,BARC.L,Financial,229.95,233.96
00:07.8,rudyard.smithies@citadel.com,tabby.dowd@janestreetcap.com,692.4,15650,GBX,INF.L,Other,689.68,693.66
00:07.8,n.ainsworth@vinvest.com,larabourne@rochdaleassets.com,316.97,26503,GBX,GLEN.L,Basic Materials,315.74,319.78
00:07.9,u.abduallatif@janestreetcap.com,tabby.dowd@janestreetcap.com,1573.93,15024,GBX,GSK.L,Healthcare,1569.86,1573.93
00:08.0,a.clare@sorrel.com,d.bristol@moma.com,522.18,18936,GBX,CPI.L,Services,518.16,522.18
00:08.0,u.farooq@tibratrading.com,m.harding@vinvest.com,1027.97,28117,GBX,EZJ.L,Services,1027.97,1027.97
00:08.0,k.c.cooper@aspectcapital.com,rudyard.smithies@citadel.com,6128.29,15634,GBX,DCC.L,Financial,6128.29,6132.38
00:08.1,larabourne@rochdaleassets.com,u.farooq@tibratrading.com,1736.14,45513,GBX,ADM.L,Financial,1736.14,1740.19
00:08.2,a.m.forex@fenchurchst.com,w.hastings@bridgewater.com,1893.45,46021,GBX,HIK.L,Healthcare,1889.47,1893.45
00:08.3,locke@rochdaleassets.com,t.barton@knightcapital.com,1460.68,14108,GBX,BLT.L,Basic Materials,1456.73,1460.68
00:08.4,w.cromwell@aspectcapital.com,t.barton@knightcapital.com,1222.76,14898,GBX,SN.L,Healthcare,1222.76,1226.92
00:08.7,n.a.choudhury@oxam.org,m.hen@aspectcapital.com,289.99,6392,GBX,WPG.L,Services,288.31,292.4
00:08.8,sam.goldwing@sorrel.com,a.m.forex@fenchurchst.com,1137.91,15375,GBX,TUI.L,Other,1133.8,1137.91
00:08.8,m.atherton@scottishwidows.com,m.harding@vinvest.com,246.56,14192,GBX,MRW.L,Consumer Goods,244.37,246.56
00:08.9,larabourne@rochdaleassets.com,a.m.forex@fenchurchst.com,1276.45,18596,GBX,HL.L,Financial,1276.45,1280.47
00:08.9,w.hastings@bridgewater.com,tabby.dowd@janestreetcap.com,4232.17,41902,GBX,CCL.L,Consumer Goods,4231.63,4235.64
00:09.0,tabby.dowd@janestreetcap.com,j.amstell@bridgewater.com,1730,25759,GBX,MNDI.L,Consumer Goods,1730,1733.9
00:09.2,u.farooq@tibratrading.com,a.braxton@vinvest.com,1341.99,36077,GBX,AAL.L,Basic Materials,1341.99,1341.99
00:09.5,thistle@janestreetcap.com,a.j.johnson@johnsonandfinnemore.com,222.84,36400,GBX,CNA.L,Utilities,222.84,226.73
00:09.5,m.grein@tibratrading.com,carlee.c@invensys.com,2049.06,22909,GBX,PSN.L,Industrial Goods,2044.95,2049.06
00:09.7,a.m.forex@fenchurchst.com,j.freeman@sorrel.com,954.74,23512,GBX,BAB.L,Industrial Goods,950.71,954.74
00:09.8,zach@invensys.com,p.greyling@fenchurchst.com,3766.77,28115,GBX,IHG.L,Services,3765.06,3769.18
00:09.8,j.amstell@bridgewater.com,m.atherton@scottishwidows.com,281.01,32883,GBX,INTU.L,Other,277.01,281.01
00:09.9,p.greyling@fenchurchst.com,n.ainsworth@vinvest.com,822.96,20182,GBX,PSON.L,Services,822.96,822.96
00:09.9,w.tuffnell@janestreetcap.com,locke@rochdaleassets.com,729.75,17938,GBX,ANTO.L,Basic Materials,726.37,730.42
00:10.0,p.greyling@fenchurchst.com,a.afzal@rochdaleassets.com,4621.84,35252,GBX,AZN.L,Healthcare,4617.86,4621.84
00:10.1,t.barton@knightcapital.com,n.a.choudhury@oxam.org,292.55,26265,GBX,WPG.L,Services,288.5,292.55
00:10.2,s.hedgewick@janestreetcap.com,rudyard.smithies@citadel.com,892.4,37481,GBX,UU.L,Utilities,888.39,892.4
00:10.2,locke@rochdaleassets.com,s.hedgewick@janestreetcap.com,229.31,14029,GBX,CNA.L,Utilities,229.31,229.31
00:10.2,a.clare@sorrel.com,w.hastings@bridgewater.com,346.57,23662,GBX,DLG.L,Financial,346,349.93
00:10.2,j.newbury@citadel.com,m.grein@tibratrading.com,1411.86,21195,GBX,CPG.L,Services,1411.86,1415.71
00:10.4,n.a.choudhury@oxam.org,m.corrigan@jlb.com,6764.58,37822,GBX,RB.L,Consumer Goods,6764.58,6764.58
00:10.5,d.bristol@moma.com,m.harding@vinvest.com,727.42,15995,GBX,III.L,Financial,723.89,727.42
00:10.6,s.chapman@jlb.com,zach@invensys.com,1126.55,19114,GBX,TUI.L,Other,1126.55,1126.55
00:10.6,k.c.cooper@aspectcapital.com,a.j.johnson@johnsonandfinnemore.com,673.89,7443,GBX,SGE.L,Technology,671.33,675.21
00:10.6,m.hen@aspectcapital.com,rudyard.smithies@citadel.com,1556.81,13349,GBX,GSK.L,Healthcare,1556.81,1558.46
00:10.7,m.hen@aspectcapital.com,w.tuffnell@janestreetcap.com,4111.94,44022,GBX,WTB.L,Services,4111.94,4115.94
00:10.8,j.newbury@citadel.com,a.m.forex@fenchurchst.com,510.65,31299,GBX,CPI.L,Services,510.65,513.63
00:10.8,p.greyling@fenchurchst.com,tabby.dowd@janestreetcap.com,1559.96,5966,GBX,GSK.L,Healthcare,1559.96,1564
00:10.8,s.benson@bridgewater.com,carlee.c@invensys.com,940.01,14240,GBX,BAB.L,Industrial Goods,940.01,940.01
00:10.9,a.j.johnson@johnsonandfinnemore.com,s.chapman@jlb.com,1602.33,26571,GBX,EXPN.L,Services,1598.33,1602.33
00:11.0,w.hastings@bridgewater.com,m.harding@vinvest.com,3634.19,24210,GBX,IMB.L,Consumer Goods,3633.09,3634.19
00:11.1,zach@invensys.com,sam.goldwing@sorrel.com,663.35,17625,GBX,RR.L,Industrial Goods,663.35,667.32
00:11.1,a.m.forex@fenchurchst.com,t.barton@knightcapital.com,2552.7,28174,GBX,ABF.L,Consumer Goods,2550.2,2554.21
00:11.3,s.withers@oxam.org,m.corrigan@jlb.com,930.53,35225,GBX,NG.L,Utilities,930.53,933.3
00:11.4,s.benson@bridgewater.com,a.smith@fenchurchst.com,830.31,28114,GBX,PSON.L,Services,830.31,830.31
00:11.5,j.freeman@sorrel.com,rudyard.smithies@citadel.com,3276.06,26935,GBX,JMAT.L,Basic Materials,3272.09,3276.06
00:11.5,a.braxton@vinvest.com,s.chapman@jlb.com,344.19,51257,GBX,GKN.L,Consumer Goods,344.19,344.19
00:11.6,j.amstell@bridgewater.com,warford.benson@tibratrading.com,3314.75,37559,GBX,CRDA.L,Industrial Goods,3314.75,3318.62
00:11.6,n.a.choudhury@oxam.org,manimal@jlb.com,338.89,26165,GBX,DLG.L,Financial,338.89,342.77
00:12.0,s.withers@oxam.org,j.amstell@bridgewater.com,518.22,33640,GBX,BP.L,Basic Materials,518.22,522.14
00:12.0,larabourne@rochdaleassets.com,p.greyling@fenchurchst.com,788.88,31035,GBX,MDC.L,Healthcare,788.88,792.87
00:12.1,k.c.cooper@aspectcapital.com,w.cromwell@aspectcapital.com,1566.07,20673,GBX,BRBY.L,Consumer Goods,1566.07,1566.07
00:12.1,l.lee@moma.com,s.benson@bridgewater.com,3401.36,11268,GBX,CRDA.L,Industrial Goods,3398.63,3401.36
00:12.3,n.ainsworth@vinvest.com,locke@rochdaleassets.com,1774.35,13036,GBX,MNDI.L,Consumer Goods,1771.44,1774.35
00:12.3,zach@invensys.com,a.j.johnson@johnsonandfinnemore.com,2849.02,11435,GBX,PFG.L,Financial,2848.39,2852.45
00:12.4,warford.benson@tibratrading.com,carlee.c@invensys.com,245.44,17832,GBX,MRW.L,Consumer Goods,241.42,245.44
00:12.4,n.a.choudhury@oxam.org,k.c.cooper@aspectcapital.com,228.75,22644,GBX,BARC.L,Financial,228.75,229.29
00:12.4,s.withers@oxam.org,m.hen@aspectcapital.com,1011.77,9895,GBX,EZJ.L,Services,1011.77,1015.66
00:12.5,t.barton@knightcapital.com,a.m.forex@fenchurchst.com,6196.42,29800,GBX,DCC.L,Financial,6192.97,6196.42
00:12.8,m.grein@tibratrading.com,t.barton@knightcapital.com,568.19,27670,GBX,RSA.L,Financial,568.19,570.31
00:13.2,m.grein@tibratrading.com,m.hen@aspectcapital.com,2193.69,47831,GBX,SVT.L,Utilities,2193.69,2193.69
00:13.3,larabourne@rochdaleassets.com,m.corrigan@jlb.com,2537.63,26141,GBX,ABF.L,Consumer Goods,2537.63,2541.59
00:13.3,a.braxton@vinvest.com,locke@rochdaleassets.com,351.88,28839,GBX,DLG.L,Financial,348.16,351.88
00:13.5,locke@rochdaleassets.com,a.m.forex@fenchurchst.com,1799.71,21175,GBX,ADM.L,Financial,1799.71,1799.71
00:13.8,j.freeman@sorrel.com,u.abduallatif@janestreetcap.com,340.58,30341,GBX,DLG.L,Financial,340.58,344.49
00:14.0,sam.goldwing@sorrel.com,m.atherton@scottishwidows.com,4056.84,23365,GBX,NXT.L,Consumer Goods,4056.84,4060.83
00:14.0,u.farooq@tibratrading.com,n.ainsworth@vinvest.com,562.41,23999,GBX,HMSO.L,Financial,562.41,566.4
00:14.1,a.afzal@rochdaleassets.com,n.a.choudhury@oxam.org,1550.7,32362,GBX,SSE.L,Utilities,1549.78,1554.04
00:14.1,s.chapman@jlb.com,t.barton@knightcapital.com,215.48,14498,GBX,OML.L,Financial,211.49,215.48
00:14.2,warford.benson@tibratrading.com,sam.goldwing@sorrel.com,4322.04,41409,GBX,CCL.L,Consumer Goods,4318.04,4322.04
00:14.2,w.cromwell@aspectcapital.com,a.smith@fenchurchst.com,2134.97,27260,GBX,SKG.L,Industrial Goods,2134.97,2138.97
00:14.2,a.smith@fenchurchst.com,rudyard.smithies@citadel.com,1801.29,36301,GBX,CCH.L,Consumer Goods,1799.53,1803.4
00:14.3,s.benson@bridgewater.com,m.atherton@scottishwidows.com,1565.92,12579,GBX,AHT.L,Services,1565.92,1569.8
00:14.3,m.harding@vinvest.com,m.corrigan@jlb.com,203.27,35905,GBX,TSCO.L,Consumer Goods,203.27,207.27
00:14.4,d.bristol@moma.com,warford.benson@tibratrading.com,2125.04,45137,GBX,BNZL.L,Services,2121.2,2125.04
00:14.4,larabourne@rochdaleassets.com,zach@invensys.com,2587.42,17645,GBX,ABF.L,Consumer Goods,2587.42,2587.42
00:14.6,tabby.dowd@janestreetcap.com,sam.goldwing@sorrel.com,4157.67,15381,GBX,CCL.L,Consumer Goods,4157.67,4161.5
00:14.6,k.c.cooper@aspectcapital.com,m.atherton@scottishwidows.com,1574.4,27013,GBX,GSK.L,Healthcare,1570.64,1574.76
00:14.6,a.afzal@rochdaleassets.com,larabourne@rochdaleassets.com,4511.52,19512,GBX,AZN.L,Healthcare,4511.52,4515.42
00:14.7,d.bristol@moma.com,t.barton@knightcapital.com,720.59,11786,GBX,ANTO.L,Basic Materials,720.59,724.63
00:14.8,m.harding@vinvest.com,s.withers@oxam.org,1571.57,31452,GBX,EXPN.L,Services,1571.57,1574.14
00:14.9,k.c.cooper@aspectcapital.com,s.chapman@jlb.com,2600.38,32747,GBX,ABF.L,Consumer Goods,2597.81,2600.38
00:15.1,a.m.forex@fenchurchst.com,w.cromwell@aspectcapital.com,614.7,22620,GBX,BA.L,Industrial Goods,610.89,614.98
00:15.3,w.hastings@bridgewater.com,m.atherton@scottishwidows.com,715.52,20023,GBX,III.L,Financial,715.52,718.81
00:15.3,u.abduallatif@janestreetcap.com,d.bristol@moma.com,1594.15,10658,GBX,AHT.L,Services,1593.66,1597.6
00:15.3,rudyard.smithies@citadel.com,s.chapman@jlb.com,1031.15,16528,GBX,EZJ.L,Services,1031.15,1035.15
00:15.4,a.m.forex@fenchurchst.com,a.clare@sorrel.com,242.83,39218,GBX,LGEN.L,Financial,242.83,246.45
00:15.6,m.grein@tibratrading.com,manimal@jlb.com,2342.19,25821,GBX,RDSA.L,Basic Materials,2342.1,2342.19
00:15.6,warford.benson@tibratrading.com,carlee.c@invensys.com,526.92,13132,GBX,BDEV.L,Industrial Goods,522.78,526.92
00:15.7,s.hedgewick@janestreetcap.com,j.amstell@bridgewater.com,1599.14,17431,GBX,EXPN.L,Services,1598.96,1602.96
00:15.9,rudyard.smithies@citadel.com,t.barton@knightcapital.com,1403.56,16231,GBX,FRES.L,Basic Materials,1403.56,1403.56
00:16.1,carlee.c@invensys.com,s.chapman@jlb.com,663.91,53738,GBX,HSBA.L,Financial,663.91,663.91
00:16.2,a.j.johnson@johnsonandfinnemore.com,w.tuffnell@janestreetcap.com,1113.78,27530,GBX,TUI.L,Other,1113.78,1117.84
00:16.4,s.hedgewick@janestreetcap.com,a.afzal@rochdaleassets.com,1597.06,20654,GBX,AHT.L,Services,1594.04,1597.98
00:16.5,sam.goldwing@sorrel.com,locke@rochdaleassets.com,2564.44,39042,GBX,ABF.L,Consumer Goods,2561.01,2564.44
00:16.7,s.benson@bridgewater.com,w.tuffnell@janestreetcap.com,575.55,20389,GBX,HMSO.L,Financial,571.4,575.55
00:16.7,a.j.johnson@johnsonandfinnemore.com,manimal@jlb.com,4710.96,33837,GBX,BATS.L,Consumer Goods,4706.88,4710.96
00:16.8,locke@rochdaleassets.com,n.ainsworth@vinvest.com,870.78,40220,GBX,UU.L,Utilities,870.78,870.78
00:16.9,sam.goldwing@sorrel.com,larabourne@rochdaleassets.com,702.35,25851,GBX,INF.L,Other,698.28,702.35
00:17.0,j.newbury@citadel.com,p.greyling@fenchurchst.com,1234.3,12249,GBX,SN.L,Healthcare,1234.3,1234.3
00:17.0,a.smith@fenchurchst.com,m.harding@vinvest.com,238.72,39599,GBX,MRW.L,Consumer Goods,238.72,241.55
00:17.0,s.hedgewick@janestreetcap.com,m.grein@tibratrading.com,229.01,27449,GBX,CNA.L,Utilities,229.01,229.01
00:17.0,thistle@janestreetcap.com,j.freeman@sorrel.com,357.32,15128,GBX,SL.L,Financial,357.32,357.32
00:17.0,manimal@jlb.com,s.benson@bridgewater.com,215.67,29237,GBX,VOD.L,Technology,212.33,216.38
00:17.0,a.smith@fenchurchst.com,thistle@janestreetcap.com,934.35,18943,GBX,BAB.L,Industrial Goods,934.35,938.32
00:17.1,s.chapman@jlb.com,w.tuffnell@janestreetcap.com,671.55,53101,GBX,RR.L,Industrial Goods,671.48,671.55
00:17.3,u.farooq@tibratrading.com,p.greyling@fenchurchst.com,484.28,35864,GBX,AV.L,Financial,482.45,486.39
00:17.3,locke@rochdaleassets.com,manimal@jlb.com,1418.94,19886,GBX,FRES.L,Basic Materials,1414.97,1418.94
00:17.3,a.m.forex@fenchurchst.com,l.lee@moma.com,3649.5,20689,GBX,IMB.L,Consumer Goods,3645.41,3649.5
00:17.4,m.atherton@scottishwidows.com,w.cromwell@aspectcapital.com,356.76,30241,GBX,GKN.L,Consumer Goods,352.58,356.76
00:17.6,m.hen@aspectcapital.com,thistle@janestreetcap.com,642.55,15063,GBX,HSBA.L,Financial,642.55,644.59
00:17.9,a.smith@fenchurchst.com,j.freeman@sorrel.com,252.6,28134,GBX,LGEN.L,Financial,248.69,252.6
00:18.4,s.hedgewick@janestreetcap.com,u.farooq@tibratrading.com,948.34,23942,GBX,NG.L,Utilities,948.34,952.47
00:18.6,s.withers@oxam.org,d.bristol@moma.com,1583.16,31714,GBX,SSE.L,Utilities,1549.88,1554.15
00:18.7,a.braxton@vinvest.com,w.cromwell@aspectcapital.com,694.47,31467,GBX,RR.L,Industrial Goods,690.34,694.47
00:18.8,zach@invensys.com,w.hastings@bridgewater.com,726.55,13083,GBX,III.L,Financial,723.45,726.55
00:18.8,sam.goldwing@sorrel.com,m.hen@aspectcapital.com,483.24,27575,GBX,MERL.L,Other,479.12,483.24
00:18.8,t.barton@knightcapital.com,a.braxton@vinvest.com,283.37,23953,GBX,WPG.L,Services,283.37,287.37
00:19.3,s.withers@oxam.org,a.clare@sorrel.com,563.12,16461,GBX,HMSO.L,Financial,562.22,566.29
00:19.4,p.greyling@fenchurchst.com,n.a.choudhury@oxam.org,839.98,13089,GBX,PSON.L,Services,839.36,839.98
00:19.4,n.ainsworth@vinvest.com,s.withers@oxam.org,4247.4,29764,GBX,CCL.L,Consumer Goods,4243.87,4247.4
00:19.5,m.grein@tibratrading.com,tabby.dowd@janestreetcap.com,242.75,23453,GBX,LGEN.L,Financial,242.75,246.31
00:19.7,a.smith@fenchurchst.com,carlee.c@invensys.com,4237.01,28428,GBX,WTB.L,Services,4233.91,4237.01
00:19.7,m.atherton@scottishwidows.com,a.j.johnson@johnsonandfinnemore.com,2902.37,38430,GBX,LSE.L,Financial,2902.37,2902.37
00:19.8,s.withers@oxam.org,a.j.johnson@johnsonandfinnemore.com,2055.3,17573,GBX,BNZL.L,Services,2055.3,2059.09
00:20.0,tabby.dowd@janestreetcap.com,k.c.cooper@aspectcapital.com,686.35,38080,GBX,INF.L,Other,686.35,686.81
00:20.1,manimal@jlb.com,s.withers@oxam.org,1601.09,21620,GBX,SSE.L,Utilities,1598.28,1601.09
00:20.2,m.corrigan@jlb.com,m.grein@tibratrading.com,349.95,27488,GBX,DLG.L,Financial,349.95,349.95
00:20.3,m.hen@aspectcapital.com,s.hedgewick@janestreetcap.com,966.95,31043,GBX,NG.L,Utilities,962.79,966.95
00:20.5,j.newbury@citadel.com,carlee.c@invensys.com,3412.91,37776,GBX,RIO.L,Basic Materials,3409.93,3413.78
00:20.6,a.clare@sorrel.com,n.a.choudhury@oxam.org,3426.29,18507,GBX,ULVR.L,Consumer Goods,3422.3,3426.29
00:20.7,w.tuffnell@janestreetcap.com,rudyard.smithies@citadel.com,2173.59,43917,GBX,SKG.L,Industrial Goods,2173.59,2173.59
00:20.7,l.lee@moma.com,m.corrigan@jlb.com,1569.79,20157,GBX,SSE.L,Utilities,1569.65,1569.79
00:20.8,d.bristol@moma.com,carlee.c@invensys.com,4630.96,28962,GBX,AZN.L,Healthcare,4626.9,4630.96
00:20.9,k.c.cooper@aspectcapital.com,zach@invensys.com,390.16,38678,GBX,BT.A.L,Technology,390.16,394.08
00:21.0,locke@rochdaleassets.com,larabourne@rochdaleassets.com,533.28,23709,GBX,BP.L,Basic Materials,529.34,533.28
00:21.0,m.harding@vinvest.com,a.j.johnson@johnsonandfinnemore.com,348.87,19298,GBX,DC.L,Consumer Goods,348.21,352.38
00:21.1,s.benson@bridgewater.com,k.c.cooper@aspectcapital.com,1240.96,22260,GBX,SN.L,Healthcare,1239.12,1240.96
00:21.2,j.freeman@sorrel.com,m.hen@aspectcapital.com,262.21,33689,GBX,SBRY.L,Consumer Goods,258.6,262.66
00:21.4,w.hastings@bridgewater.com,n.a.choudhury@oxam.org,707.05,16053,GBX,STAN.L,Financial,705.56,709.63
00:21.5,t.barton@knightcapital.com,u.farooq@tibratrading.com,357.74,28758,GBX,DLG.L,Financial,353.65,357.74
00:21.7,u.farooq@tibratrading.com,locke@rochdaleassets.com,4992.77,19952,GBX,WOS.L,Industrial Goods,4988.72,4992.77
